D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
1.42000000e+00,2.87690592e+00,2.80989055e+00,3.52359462e+00,3.45362688e+00,3.83319616e+00,3.74913249e+00,4.02715588e+00,3.94383348e+00,4.16473722e+00,4.06264012e+00
1.44000000e+00,2.81599259e+00,2.75135437e+00,3.44744873e+00,3.38112258e+00,3.74941659e+00,3.66996766e+00,3.93847799e+00,3.86018751e+00,4.07252693e+00,3.97622234e+00
1.46000000e+00,2.75647044e+00,2.69422020e+00,3.37310004e+00,3.31038790e+00,3.66766071e+00,3.59275739e+00,3.85196900e+00,3.77862414e+00,3.98261905e+00,3.89196782e+00
1.48000000e+00,2.69830513e+00,2.63844514e+00,3.30050993e+00,3.24136734e+00,3.58788419e+00,3.51743949e+00,3.76760721e+00,3.69907643e+00,3.89493823e+00,3.80980660e+00
1.50000000e+00,2.64146256e+00,2.58398803e+00,3.22963214e+00,3.17400771e+00,3.51002979e+00,3.44395442e+00,3.68528843e+00,3.62148032e+00,3.80943108e+00,3.72967169e+00
1.52000000e+00,2.58589840e+00,2.53080942e+00,3.16042948e+00,3.10825803e+00,3.43405318e+00,3.37224512e+00,3.60498428e+00,3.54577442e+00,3.72601676e+00,3.65149896e+00
1.54000000e+00,2.53159356e+00,2.47887141e+00,3.09283996e+00,3.04406938e+00,3.35988927e+00,3.30225688e+00,3.52664614e+00,3.47189992e+00,3.64468122e+00,3.57522695e+00
1.56000000e+00,2.47851419e+00,2.42813760e+00,3.02684712e+00,2.98139484e+00,3.28751945e+00,3.23393722e+00,3.45020890e+00,3.39980041e+00,3.56533694e+00,3.50079675e+00
1.58000000e+00,2.42662573e+00,2.37857303e+00,2.96238756e+00,2.92018933e+00,3.21686721e+00,3.16723578e+00,3.37562060e+00,3.32942177e+00,3.48793793e+00,3.42815183e+00
1.60000000e+00,2.37590766e+00,2.33014407e+00,2.89944243e+00,2.86040957e+00,3.14791083e+00,3.10210421e+00,3.30284476e+00,3.26071206e+00,3.41243267e+00,3.35723797e+00
1.62000000e+00,2.32632613e+00,2.28281839e+00,2.83796000e+00,2.80201395e+00,3.08058548e+00,3.03849603e+00,3.23182201e+00,3.19362140e+00,3.33876419e+00,3.28800310e+00
1.64000000e+00,2.27784991e+00,2.23656486e+00,2.77791142e+00,2.74496246e+00,3.01486683e+00,2.97636662e+00,3.16251898e+00,3.12810186e+00,3.26689196e+00,3.22039720e+00
1.66000000e+00,2.23046136e+00,2.19135354e+00,2.71925282e+00,2.68921662e+00,2.95071483e+00,2.91567303e+00,3.09487605e+00,3.06410738e+00,3.19676971e+00,3.15437221e+00
1.68000000e+00,2.18412066e+00,2.14715555e+00,2.66195774e+00,2.63473938e+00,2.88806820e+00,2.85637397e+00,3.02886033e+00,3.00159367e+00,3.12833881e+00,3.08988192e+00
1.70000000e+00,2.13882184e+00,2.10394309e+00,2.60598612e+00,2.58149509e+00,2.82690978e+00,2.79842970e+00,2.96442556e+00,2.94051810e+00,3.06156683e+00,3.02688188e+00
1.72000000e+00,2.09452724e+00,2.06168936e+00,2.55131221e+00,2.52944940e+00,2.76719379e+00,2.74180195e+00,2.90152407e+00,2.88083966e+00,2.99641371e+00,2.96532934e+00
1.74000000e+00,2.05121589e+00,2.02036851e+00,2.49790049e+00,2.47856920e+00,2.70888066e+00,2.68645387e+00,2.84012699e+00,2.82251886e+00,2.93281484e+00,2.90518311e+00
1.76000000e+00,2.00887156e+00,1.97995560e+00,2.44571710e+00,2.42882260e+00,2.65193319e+00,2.63234995e+00,2.78019094e+00,2.76551766e+00,2.87075257e+00,2.84640356e+00
1.78000000e+00,1.96745467e+00,1.94042656e+00,2.39473462e+00,2.38017881e+00,2.59632254e+00,2.57945597e+00,2.72167611e+00,2.70979940e+00,2.81016636e+00,2.78895248e+00
1.80000000e+00,1.92696095e+00,1.90175814e+00,2.34491944e+00,2.33260815e+00,2.54201889e+00,2.52773890e+00,2.66454840e+00,2.65532874e+00,2.75103498e+00,2.73279307e+00
1.82000000e+00,1.88735878e+00,1.86392790e+00,2.29624510e+00,2.28608198e+00,2.48897839e+00,2.47716691e+00,2.60876799e+00,2.60207162e+00,2.69330978e+00,2.67788983e+00
1.84000000e+00,1.84863234e+00,1.82691415e+00,2.24868345e+00,2.24057263e+00,2.43717146e+00,2.42770927e+00,2.55429769e+00,2.54999516e+00,2.63695121e+00,2.62420853e+00
1.86000000e+00,1.81075907e+00,1.79069592e+00,2.20220947e+00,2.19605338e+00,2.38657427e+00,2.37933632e+00,2.50111055e+00,2.49906763e+00,2.58193564e+00,2.57171614e+00
1.88000000e+00,1.77371764e+00,1.75525295e+00,2.15679336e+00,2.15249842e+00,2.33714509e+00,2.33201941e+00,2.44917488e+00,2.44925841e+00,2.52821469e+00,2.52038078e+00
1.90000000e+00,1.73749077e+00,1.72056562e+00,2.11240864e+00,2.10988281e+00,2.28886294e+00,2.28573086e+00,2.39845204e+00,2.40053791e+00,2.47576094e+00,2.47017166e+00
1.92000000e+00,1.70206046e+00,1.68661496e+00,2.06903195e+00,2.06818244e+00,2.24168873e+00,2.24044393e+00,2.34890819e+00,2.35287757e+00,2.42453957e+00,2.42105906e+00
1.94000000e+00,1.66740382e+00,1.65338261e+00,2.02664018e+00,2.02737396e+00,2.19560790e+00,2.19613277e+00,2.30051494e+00,2.30624978e+00,2.37451339e+00,2.37301425e+00
1.96000000e+00,1.63350987e+00,1.62085079e+00,1.98520303e+00,1.98743483e+00,2.15057778e+00,2.15277237e+00,2.25324416e+00,2.26062783e+00,2.32566214e+00,2.32600947e+00
1.98000000e+00,1.60035515e+00,1.58900229e+00,1.94469583e+00,1.94834320e+00,2.10658073e+00,2.11033856e+00,2.20706773e+00,2.21598591e+00,2.27794647e+00,2.28001788e+00
