D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
1.58000000e+00,2.37857303e+00,2.33726845e+00,2.92018933e+00,2.86063041e+00,3.16723578e+00,3.10699201e+00,3.32942177e+00,3.25927317e+00,3.42815183e+00,3.36611303e+00
1.60000000e+00,2.33014407e+00,2.28921889e+00,2.86040957e+00,2.80150877e+00,3.10210421e+00,3.04245478e+00,3.26071206e+00,3.19132333e+00,3.35723797e+00,3.29574143e+00
1.62000000e+00,2.28281839e+00,2.24231950e+00,2.80201395e+00,2.74382361e+00,3.03849603e+00,2.97950205e+00,3.19362140e+00,3.12505423e+00,3.28800310e+00,3.22712035e+00
1.64000000e+00,2.23656486e+00,2.19653684e+00,2.74496246e+00,2.68753232e+00,2.97636662e+00,2.91808620e+00,3.12810186e+00,3.06041489e+00,3.22039720e+00,3.16019631e+00
1.66000000e+00,2.19135354e+00,2.15183870e+00,2.68921662e+00,2.63259385e+00,2.91567303e+00,2.85816138e+00,3.06410738e+00,2.99735623e+00,3.15437221e+00,3.09491785e+00
1.68000000e+00,2.14715555e+00,2.10819402e+00,2.63473938e+00,2.57896867e+00,2.85637397e+00,2.79968346e+00,3.00159367e+00,2.93583106e+00,3.08988192e+00,3.03123548e+00
1.70000000e+00,2.10394309e+00,2.06557284e+00,2.58149509e+00,2.52661871e+00,2.79842970e+00,2.74260993e+00,2.94051810e+00,2.87579389e+00,3.02688188e+00,2.96910155e+00
1.72000000e+00,2.06168936e+00,2.02394628e+00,2.52944940e+00,2.47550724e+00,2.74180195e+00,2.68689984e+00,2.88083966e+00,2.81720096e+00,2.96532934e+00,2.90847019e+00
1.74000000e+00,2.02036851e+00,1.98328647e+00,2.47856920e+00,2.42559887e+00,2.68645387e+00,2.63251372e+00,2.82251886e+00,2.76001007e+00,2.90518311e+00,2.84929721e+00
1.76000000e+00,1.97995560e+00,1.94356650e+00,2.42882260e+00,2.37685946e+00,2.63234995e+00,2.57941351e+00,2.76551766e+00,2.70418057e+00,2.84640356e+00,2.79154003e+00
1.78000000e+00,1.94042656e+00,1.90476039e+00,2.38017881e+00,2.32925605e+00,2.57945597e+00,2.52756252e+00,2.70979940e+00,2.64967325e+00,2.78895248e+00,2.73515761e+00
1.80000000e+00,1.90175814e+00,1.86684304e+00,2.33260815e+00,2.28275685e+00,2.52773890e+00,2.47692534e+00,2.65532874e+00,2.59645032e+00,2.73279307e+00,2.68011037e+00
1.82000000e+00,1.86392790e+00,1.82979022e+00,2.28608198e+00,2.23733116e+00,2.47716691e+00,2.42746780e+00,2.60207162e+00,2.54447528e+00,2.67788983e+00,2.62636014e+00
1.84000000e+00,1.82691415e+00,1.79357849e+00,2.24057263e+00,2.19294933e+00,2.42770927e+00,2.37915691e+00,2.54999516e+00,2.49371296e+00,2.62420853e+00,2.57387009e+00
1.86000000e+00,1.79069592e+00,1.75818519e+00,2.19605338e+00,2.14958271e+00,2.37933632e+00,2.33196082e+00,2.49906763e+00,2.44412935e+00,2.57171614e+00,2.52260469e+00
1.88000000e+00,1.75525295e+00,1.72358843e+00,2.15249842e+00,2.10720362e+00,2.33201941e+00,2.28584876e+00,2.44925841e+00,2.39569165e+00,2.52038078e+00,2.47252961e+00
1.90000000e+00,1.72056562e+00,1.68976701e+00,2.10988281e+00,2.06578529e+00,2.28573086e+00,2.24079100e+00,2.40053791e+00,2.34836816e+00,2.47017166e+00,2.42361171e+00
1.92000000e+00,1.68661496e+00,1.65670043e+00,2.06818244e+00,2.02530186e+00,2.24044393e+00,2.19675880e+00,2.35287757e+00,2.30212827e+00,2.42105906e+00,2.37581899e+00
1.94000000e+00,1.65338261e+00,1.62436884e+00,2.02737396e+00,1.98572831e+00,2.19613277e+00,2.15372438e+00,2.30624978e+00,2.25694236e+00,2.37301425e+00,2.32912052e+00
1.96000000e+00,1.62085079e+00,1.59275304e+00,1.98743483e+00,1.94704041e+00,2.15277237e+00,2.11166088e+00,2.26062783e+00,2.21278182e+00,2.32600947e+00,2.28348640e+00
1.98000000e+00,1.58900229e+00,1.56183443e+00,1.94834320e+00,1.90921475e+00,2.11033856e+00,2.07054233e+00,2.21598591e+00,2.16961899e+00,2.28001788e+00,2.23888773e+00
2.00000000e+00,1.55782041e+00,1.53159499e+00,1.91007793e+00,1.87222865e+00,2.06880793e+00,2.03034356e+00,2.17229907e+00,2.12742711e+00,2.23501351e+00,2.19529656e+00
2.02000000e+00,1.52728901e+00,1.50201727e+00,1.87261856e+00,1.83606016e+00,2.02815784e+00,1.99104026e+00,2.12954313e+00,2.08618027e+00,2.19097126e+00,2.15268585e+00
2.04000000e+00,1.49739239e+00,1.47308435e+00,1.83594526e+00,1.80068801e+00,1.98836636e+00,1.95260888e+00,2.08769471e+00,2.04585343e+00,2.14786683e+00,2.11102946e+00
2.06000000e+00,1.46811538e+00,1.44477985e+00,1.80003881e+00,1.76609161e+00,1.94941225e+00,1.91502661e+00,2.04673117e+00,2.00642232e+00,2.10567668e+00,2.07030207e+00
2.08000000e+00,1.43944323e+00,1.41708787e+00,1.76488061e+00,1.73225101e+00,1.91127493e+00,1.87827136e+00,2.00663060e+00,1.96786347e+00,2.06437805e+00,2.03047917e+00
2.10000000e+00,1.41136164e+00,1.38999300e+00,1.73045259e+00,1.69914688e+00,1.87393448e+00,1.84232174e+00,1.96737173e+00,1.93015414e+00,2.02394887e+00,1.99153705e+00
2.12000000e+00,1.38385674e+00,1.36348029e+00,1.69673726e+00,1.66676048e+00,1.83737156e+00,1.80715702e+00,1.92893401e+00,1.89327229e+00,1.98436777e+00,1.95345273e+00
2.14000000e+00,1.35691506e+00,1.33753526e+00,1.66371764e+00,1.63507363e+00,1.80156745e+00,1.77275713e+00,1.89129746e+00,1.85719659e+00,1.94561403e+00,1.91620396e+00
2.16000000e+00,1.33052352e+00,1.31214382e+00,1.63137727e+00,1.60406872e+00,1.76650397e+00,1.73910257e+00,1.85444276e+00,1.82190635e+00,1.90766759e+00,1.87976918e+00
2.18000000e+00,1.30466942e+00,1.28729233e+00,1.59970015e+00,1.57372866e+00,1.73216349e+00,1.70617448e+00,1.81835114e+00,1.78738152e+00,1.87050896e+00,1.84412748e+00
2.20000000e+00,1.27934042e+00,1.26296754e+00,1.56867076e+00,1.54403687e+00,1.69852891e+00,1.67395456e+00,1.78300442e+00,1.75360268e+00,1.83411928e+00,1.80925863e+00
2.22000000e+00,1.25452453e+00,1.23915658e+00,1.53827406e+00,1.51497727e+00,1.66558364e+00,1.64242503e+00,1.74838493e+00,1.72055097e+00,1.79848022e+00,1.77514298e+00
2.24000000e+00,1.23021010e+00,1.21584696e+00,1.50849539e+00,1.48653425e+00,1.63331155e+00,1.61156868e+00,1.71447554e+00,1.68820813e+00,1.76357402e+00,1.74176151e+00
2.26000000e+00,1.20638581e+00,1.19302654e+00,1.47932055e+00,1.45869266e+00,1.60169701e+00,1.58136879e+00,1.68125962e+00,1.65655641e+00,1.72938342e+00,1.70909573e+00
2.28000000e+00,1.18304063e+00,1.17068354e+00,1.45073573e+00,1.43143778e+00,1.57072480e+00,1.55180914e+00,1.64872102e+00,1.62557863e+00,1.69589169e+00,1.67712775e+00
2.30000000e+00,1.16016385e+00,1.14880650e+00,1.42272750e+00,1.40475534e+00,1.54038017e+00,1.52287398e+00,1.61684405e+00,1.59525808e+00,1.66308254e+00,1.64584019e+00
2.32000000e+00,1.13774506e+00,1.12738431e+00,1.39528282e+00,1.37863145e+00,1.51064878e+00,1.49454804e+00,1.58561348e+00,1.56557856e+00,1.63094021e+00,1.61521617e+00
2.34000000e+00,1.11577411e+00,1.10640614e+00,1.36838900e+00,1.35305265e+00,1.48151666e+00,1.46681645e+00,1.55501451e+00,1.53652435e+00,1.59944933e+00,1.58523933e+00
2.36000000e+00,1.09424114e+00,1.08586149e+00,1.34203370e+00,1.32800585e+00,1.45297027e+00,1.43966482e+00,1.52503273e+00,1.50808017e+00,1.56859500e+00,1.55589379e+00
2.38000000e+00,1.07313654e+00,1.06574013e+00,1.31620492e+00,1.30347831e+00,1.42499643e+00,1.41307913e+00,1.49565416e+00,1.48023118e+00,1.53836273e+00,1.52716411e+00
2.40000000e+00,1.05245096e+00,1.04603212e+00,1.29089099e+00,1.27945769e+00,1.39758232e+00,1.38704579e+00,1.46686521e+00,1.45296300e+00,1.50873843e+00,1.49903530e+00
2.42000000e+00,1.03217529e+00,1.02672780e+00,1.26608054e+00,1.25593196e+00,1.37071547e+00,1.36155156e+00,1.43865265e+00,1.42626161e+00,1.47970841e+00,1.47149283e+00
2.44000000e+00,1.01230066e+00,1.00781778e+00,1.24176252e+00,1.23288944e+00,1.34438373e+00,1.33658361e+00,1.41100361e+00,1.40011343e+00,1.45125934e+00,1.44452254e+00
2.46000000e+00,9.92818434e-01,9.89292891e-01,1.21792615e+00,1.21031876e+00,1.31857532e+00,1.31212944e+00,1.38390557e+00,1.37450523e+00,1.42337826e+00,1.41811072e+00
2.48000000e+00,9.73720191e-01,9.71144251e-01,1.19456095e+00,1.18820890e+00,1.29327873e+00,1.28817693e+00,1.35734636e+00,1.34942419e+00,1.39605257e+00,1.39224399e+00
2.50000000e+00,9.54997727e-01,9.53363198e-01,1.17165672e+00,1.16654909e+00,1.26848277e+00,1.26471425e+00,1.33131412e+00,1.32485780e+00,1.36926999e+00,1.36690941e+00
2.52000000e+00,9.36643043e-01,9.35941304e-01,1.14920350e+00,1.14532888e+00,1.24417655e+00,1.24172994e+00,1.30579731e+00,1.30079395e+00,1.34301859e+00,1.34209435e+00
