D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
8.60000000e-01,1.73411811e+00,1.70021874e+00,2.85809554e+00,2.83787760e+00,3.51486057e+00,3.55242746e+00,3.79717048e+00,3.85468927e+00,3.90243559e+00,3.96427982e+00
8.80000000e-01,1.72406675e+00,1.69019629e+00,2.83367571e+00,2.81516089e+00,3.47859460e+00,3.51613726e+00,3.75516100e+00,3.80958138e+00,3.85815455e+00,3.91459717e+00
9.00000000e-01,1.71395023e+00,1.68016233e+00,2.80947223e+00,2.79258663e+00,3.44296316e+00,3.48032040e+00,3.71401684e+00,3.76525766e+00,3.81483471e+00,3.86589954e+00
9.20000000e-01,1.70377403e+00,1.67011886e+00,2.78548591e+00,2.77015511e+00,3.40794543e+00,3.44496742e+00,3.67370332e+00,3.72169593e+00,3.77243540e+00,3.81815507e+00
9.40000000e-01,1.69354342e+00,1.66006780e+00,2.76171714e+00,2.74786656e+00,3.37352155e+00,3.41006919e+00,3.63418783e+00,3.67887501e+00,3.73091850e+00,3.77133348e+00
9.60000000e-01,1.68326348e+00,1.65001100e+00,2.73816589e+00,2.72572116e+00,3.33967258e+00,3.37561689e+00,3.59543965e+00,3.63677467e+00,3.69024823e+00,3.72540596e+00
9.80000000e-01,1.67293910e+00,1.63995024e+00,2.71483179e+00,2.70371904e+00,3.30638043e+00,3.34160199e+00,3.55742980e+00,3.59537554e+00,3.65039095e+00,3.68034507e+00
1.00000000e+00,1.66257494e+00,1.62988724e+00,2.69171420e+00,2.68186025e+00,3.27362782e+00,3.30801625e+00,3.52013092e+00,3.55465907e+00,3.61131498e+00,3.63612463e+00
1.02000000e+00,1.65217552e+00,1.61982369e+00,2.66881217e+00,2.66014484e+00,3.24139824e+00,3.27485168e+00,3.48351716e+00,3.51460747e+00,3.57299050e+00,3.59271967e+00
1.04000000e+00,1.64174514e+00,1.60976119e+00,2.64612455e+00,2.63857278e+00,3.20967590e+00,3.24210054e+00,3.44756405e+00,3.47520369e+00,3.53538935e+00,3.55010635e+00
1.06000000e+00,1.63128795e+00,1.59970131e+00,2.62364998e+00,2.61714400e+00,3.17844570e+00,3.20975534e+00,3.41224842e+00,3.43643135e+00,3.49848494e+00,3.50826187e+00
1.08000000e+00,1.62080790e+00,1.58964554e+00,2.60138695e+00,2.59585841e+00,3.14769319e+00,3.17780882e+00,3.37754832e+00,3.39827472e+00,3.46225214e+00,3.46716440e+00
1.10000000e+00,1.61030880e+00,1.57959537e+00,2.57933376e+00,2.57471588e+00,3.11740455e+00,3.14625391e+00,3.34344291e+00,3.36071868e+00,3.42666716e+00,3.42679308e+00
