D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
1.98000000e+00,1.59919554e+00,1.49753538e+00,1.73899636e+00,1.63567231e+00,1.79705545e+00,1.69482617e+00,1.83353733e+00,1.72933691e+00,1.85516173e+00,1.75251454e+00
2.00000000e+00,1.58521971e+00,1.48316666e+00,1.72408578e+00,1.62020019e+00,1.78173143e+00,1.67886404e+00,1.81794464e+00,1.71307704e+00,1.83940636e+00,1.73604713e+00
2.02000000e+00,1.57137375e+00,1.46898081e+00,1.70931140e+00,1.60492016e+00,1.76654716e+00,1.66309841e+00,1.80249425e+00,1.69701654e+00,1.82379490e+00,1.71978121e+00
2.04000000e+00,1.55765567e+00,1.45497462e+00,1.69467116e+00,1.58982895e+00,1.75150050e+00,1.64752598e+00,1.78718396e+00,1.68115208e+00,1.80832516e+00,1.70371342e+00
2.06000000e+00,1.54406356e+00,1.44114499e+00,1.68016304e+00,1.57492338e+00,1.73658939e+00,1.63214352e+00,1.77201168e+00,1.66548041e+00,1.79299499e+00,1.68784047e+00
2.08000000e+00,1.53059558e+00,1.42748886e+00,1.66578511e+00,1.56020034e+00,1.72181182e+00,1.61694789e+00,1.75697535e+00,1.64999833e+00,1.77780231e+00,1.67215916e+00
2.10000000e+00,1.51724991e+00,1.41400327e+00,1.65153547e+00,1.54565679e+00,1.70716584e+00,1.60193600e+00,1.74207297e+00,1.63470275e+00,1.76274509e+00,1.65666636e+00
2.12000000e+00,1.50402480e+00,1.40068531e+00,1.63741229e+00,1.53128976e+00,1.69264957e+00,1.58710485e+00,1.72730261e+00,1.61959063e+00,1.74782138e+00,1.64135899e+00
2.14000000e+00,1.49091855e+00,1.38753215e+00,1.62341376e+00,1.51709635e+00,1.67826115e+00,1.57245149e+00,1.71266238e+00,1.60465898e+00,1.73302925e+00,1.62623408e+00
2.16000000e+00,1.47792952e+00,1.37454102e+00,1.60953817e+00,1.50307371e+00,1.66399880e+00,1.55797304e+00,1.69815045e+00,1.58990491e+00,1.71836685e+00,1.61128868e+00
2.18000000e+00,1.46505608e+00,1.36170921e+00,1.59578380e+00,1.48921908e+00,1.64986076e+00,1.54366670e+00,1.68376503e+00,1.57532557e+00,1.70383236e+00,1.59651994e+00
2.20000000e+00,1.45229667e+00,1.34903407e+00,1.58214903e+00,1.47552975e+00,1.63584534e+00,1.52952970e+00,1.66950439e+00,1.56091819e+00,1.68942403e+00,1.58192504e+00
2.22000000e+00,1.43964978e+00,1.33651302e+00,1.56863225e+00,1.46200305e+00,1.62195090e+00,1.51555937e+00,1.65536684e+00,1.54668004e+00,1.67514013e+00,1.56750126e+00
2.24000000e+00,1.42711392e+00,1.32414354e+00,1.55523190e+00,1.44863640e+00,1.60817582e+00,1.50175306e+00,1.64135073e+00,1.53260846e+00,1.66097900e+00,1.55324590e+00
2.26000000e+00,1.41468764e+00,1.31192314e+00,1.54194646e+00,1.43542725e+00,1.59451854e+00,1.48810819e+00,1.62745447e+00,1.51870085e+00,1.64693900e+00,1.53915633e+00
2.28000000e+00,1.40236955e+00,1.29984942e+00,1.52877446e+00,1.42237312e+00,1.58097753e+00,1.47462226e+00,1.61367648e+00,1.50495466e+00,1.63301857e+00,1.52523000e+00
2.30000000e+00,1.39015828e+00,1.28792000e+00,1.51571445e+00,1.40947158e+00,1.56755131e+00,1.46129277e+00,1.60001525e+00,1.49136738e+00,1.61921614e+00,1.51146437e+00
2.32000000e+00,1.37805249e+00,1.27613259e+00,1.50276504e+00,1.39672024e+00,1.55423842e+00,1.44811733e+00,1.58646929e+00,1.47793659e+00,1.60553022e+00,1.49785699e+00
2.34000000e+00,1.36605089e+00,1.26448490e+00,1.48992486e+00,1.38411678e+00,1.54103747e+00,1.43509356e+00,1.57303717e+00,1.46465988e+00,1.59195934e+00,1.48440545e+00
2.36000000e+00,1.35415221e+00,1.25297473e+00,1.47719258e+00,1.37165892e+00,1.52794706e+00,1.42221914e+00,1.55971747e+00,1.45153491e+00,1.57850207e+00,1.47110737e+00
2.38000000e+00,1.34235522e+00,1.24159992e+00,1.46456689e+00,1.35934442e+00,1.51496587e+00,1.40949180e+00,1.54650882e+00,1.43855939e+00,1.56515701e+00,1.45796044e+00
2.40000000e+00,1.33065871e+00,1.23035833e+00,1.45204653e+00,1.34717109e+00,1.50209258e+00,1.39690933e+00,1.53340987e+00,1.42573106e+00,1.55192281e+00,1.44496240e+00
2.42000000e+00,1.31906152e+00,1.21924789e+00,1.43963026e+00,1.33513680e+00,1.48932591e+00,1.38446953e+00,1.52041933e+00,1.41304773e+00,1.53879813e+00,1.43211101e+00
2.44000000e+00,1.30756249e+00,1.20826657e+00,1.42731689e+00,1.32323943e+00,1.47666463e+00,1.37217028e+00,1.50753592e+00,1.40050722e+00,1.52578169e+00,1.41940411e+00
2.46000000e+00,1.29616052e+00,1.19741238e+00,1.41510522e+00,1.31147693e+00,1.46410751e+00,1.36000948e+00,1.49475839e+00,1.38810744e+00,1.51287221e+00,1.40683955e+00
2.48000000e+00,1.28485450e+00,1.18668336e+00,1.40299412e+00,1.29984729e+00,1.45165337e+00,1.34798508e+00,1.48208552e+00,1.37584629e+00,1.50006846e+00,1.39441525e+00
2.50000000e+00,1.27364337e+00,1.17607760e+00,1.39098246e+00,1.28834853e+00,1.43930104e+00,1.33609508e+00,1.46951614e+00,1.36372175e+00,1.48736924e+00,1.38212914e+00
2.52000000e+00,1.26252610e+00,1.16559324e+00,1.37906914e+00,1.27697872e+00,1.42704941e+00,1.32433749e+00,1.45704907e+00,1.35173182e+00,1.47477337e+00,1.36997923e+00
2.54000000e+00,1.25150167e+00,1.15522844e+00,1.36725310e+00,1.26573595e+00,1.41489736e+00,1.31271040e+00,1.44468320e+00,1.33987455e+00,1.46227971e+00,1.35796352e+00
2.56000000e+00,1.24056907e+00,1.14498140e+00,1.35553329e+00,1.25461836e+00,1.40284381e+00,1.30121190e+00,1.43241741e+00,1.32814802e+00,1.44988712e+00,1.34608010e+00
2.58000000e+00,1.22972735e+00,1.13485036e+00,1.34390869e+00,1.24362413e+00,1.39088770e+00,1.28984013e+00,1.42025062e+00,1.31655035e+00,1.43759452e+00,1.33432706e+00
2.60000000e+00,1.21897555e+00,1.12483358e+00,1.33237829e+00,1.23275146e+00,1.37902801e+00,1.27859328e+00,1.40818178e+00,1.30507969e+00,1.42540082e+00,1.32270254e+00
2.62000000e+00,1.20831275e+00,1.11492939e+00,1.32094113e+00,1.22199861e+00,1.36726373e+00,1.26746955e+00,1.39620985e+00,1.29373423e+00,1.41330498e+00,1.31120470e+00
2.64000000e+00,1.19773802e+00,1.10513612e+00,1.30959624e+00,1.21136385e+00,1.35559387e+00,1.25646720e+00,1.38433382e+00,1.28251220e+00,1.40130597e+00,1.29983177e+00
2.66000000e+00,1.18725050e+00,1.09545215e+00,1.29834269e+00,1.20084549e+00,1.34401746e+00,1.24558449e+00,1.37255271e+00,1.27141186e+00,1.38940280e+00,1.28858197e+00
