D,p,source,u
7.40000000e-01,0.5324,NN,1.12711906e+00
7.40000000e-01,0.5324,PBE,1.22403915e+00
7.40000000e-01,0.7985,NN,1.46112823e+00
7.40000000e-01,0.7985,PBE,1.46554019e+00
7.40000000e-01,1.0647,NN,1.71230507e+00
7.40000000e-01,1.0647,PBE,1.65972218e+00
7.40000000e-01,1.3308,NN,1.91056049e+00
7.40000000e-01,1.3308,PBE,1.95705471e+00
7.60000000e-01,0.2662,NN,6.38544202e-01
7.60000000e-01,0.2662,PBE,4.92166074e-01
7.60000000e-01,0.5324,NN,1.10459602e+00
7.60000000e-01,0.5324,PBE,1.20047176e+00
7.60000000e-01,0.7985,NN,1.43575168e+00
7.60000000e-01,0.7985,PBE,1.44012656e+00
7.60000000e-01,1.0647,NN,1.68539202e+00
7.60000000e-01,1.0647,PBE,1.63317536e+00
7.60000000e-01,1.3308,NN,1.88266659e+00
7.60000000e-01,1.3308,PBE,1.92911169e+00
7.80000000e-01,0.2662,NN,6.23272777e-01
7.80000000e-01,0.2662,PBE,4.79874127e-01
7.80000000e-01,0.5324,NN,1.08283222e+00
7.80000000e-01,0.5324,PBE,1.17765954e+00
7.80000000e-01,0.7985,NN,1.41113186e+00
7.80000000e-01,0.7985,PBE,1.41545692e+00
7.80000000e-01,1.0647,NN,1.65922332e+00
7.80000000e-01,1.0647,PBE,1.60736158e+00
7.80000000e-01,1.3308,NN,1.85550666e+00
7.80000000e-01,1.3308,PBE,1.90188851e+00
8.00000000e-01,0.2662,NN,6.08625233e-01
8.00000000e-01,0.2662,PBE,4.68120856e-01
8.00000000e-01,0.5324,NN,1.06178856e+00
8.00000000e-01,0.5324,PBE,1.15556495e+00
8.00000000e-01,0.7985,NN,1.38723040e+00
8.00000000e-01,0.7985,PBE,1.39149507e+00
8.00000000e-01,1.0647,NN,1.63376093e+00
8.00000000e-01,1.0647,PBE,1.58224526e+00
8.00000000e-01,1.3308,NN,1.82904434e+00
8.00000000e-01,1.3308,PBE,1.87535002e+00
8.20000000e-01,0.2662,NN,5.94564617e-01
8.20000000e-01,0.2662,PBE,4.56871817e-01
8.20000000e-01,0.5324,NN,1.04142785e+00
8.20000000e-01,0.5324,PBE,1.13415309e+00
8.20000000e-01,0.7985,NN,1.36401284e+00
8.20000000e-01,0.7985,PBE,1.36820746e+00
8.20000000e-01,1.0647,NN,1.60897362e+00
8.20000000e-01,1.0647,PBE,1.55779341e+00
8.20000000e-01,1.3308,NN,1.80324781e+00
8.20000000e-01,1.3308,PBE,1.84946363e+00
8.40000000e-01,0.2662,NN,5.81056893e-01
8.40000000e-01,0.2662,PBE,4.46095383e-01
8.40000000e-01,0.5324,NN,1.02171636e+00
8.40000000e-01,0.5324,PBE,1.11339149e+00
8.40000000e-01,0.7985,NN,1.34144890e+00
8.40000000e-01,0.7985,PBE,1.34556284e+00
8.40000000e-01,1.0647,NN,1.58482993e+00
8.40000000e-01,1.0647,PBE,1.53397538e+00
8.40000000e-01,1.3308,NN,1.77808642e+00
8.40000000e-01,1.3308,PBE,1.82419914e+00
8.60000000e-01,0.2662,NN,5.68070173e-01
8.60000000e-01,0.2662,PBE,4.35762463e-01
8.60000000e-01,0.5324,NN,1.00262201e+00
8.60000000e-01,0.5324,PBE,1.09324983e+00
8.60000000e-01,0.7985,NN,1.31950533e+00
8.60000000e-01,0.7985,PBE,1.32353214e+00
8.60000000e-01,1.0647,NN,1.56129920e+00
8.60000000e-01,1.0647,PBE,1.51076268e+00
8.60000000e-01,1.3308,NN,1.75353110e+00
