D,NN_E_z1.93,Num_E_z1.93,NN_E_z3.87,Num_E_z3.87,NN_E_z5.80,Num_E_z5.80,NN_E_z7.74,Num_E_z7.74,NN_E_z9.67,Num_E_z9.67
2.46000000e+00,4.92778450e-01,5.27130031e-01,1.36393392e+00,1.32296388e+00,1.87052786e+00,1.92213570e+00,2.20767140e+00,2.20466132e+00,2.37369323e+00,2.31204550e+00
2.48000000e+00,4.84055102e-01,5.17336142e-01,1.33806753e+00,1.29779972e+00,1.83338761e+00,1.88489412e+00,2.16555929e+00,2.16154972e+00,2.32769370e+00,2.26666979e+00
2.50000000e+00,4.75486726e-01,5.07718109e-01,1.31269729e+00,1.27312494e+00,1.79708886e+00,1.84841464e+00,2.12430072e+00,2.11934077e+00,2.28258753e+00,2.22225240e+00
2.52000000e+00,4.67067212e-01,4.98272920e-01,1.28780866e+00,1.24892925e+00,1.76162589e+00,1.81267950e+00,2.08386993e+00,2.07801256e+00,2.23834682e+00,2.17876967e+00
2.54000000e+00,4.58794296e-01,4.88997608e-01,1.26339614e+00,1.22520262e+00,1.72696364e+00,1.77767144e+00,2.04424858e+00,2.03754379e+00,2.19495249e+00,2.13619869e+00
2.56000000e+00,4.50666755e-01,4.79889255e-01,1.23945534e+00,1.20193524e+00,1.69308722e+00,1.74337369e+00,2.00541997e+00,1.99791382e+00,2.15239429e+00,2.09451724e+00
2.58000000e+00,4.42680955e-01,4.70944989e-01,1.21596968e+00,1.17911756e+00,1.65997219e+00,1.70976996e+00,1.96736228e+00,1.95910265e+00,2.11064911e+00,2.05370377e+00
2.60000000e+00,4.34832454e-01,4.62161985e-01,1.19293356e+00,1.15674027e+00,1.62760150e+00,1.67684440e+00,1.93004572e+00,1.92109082e+00,2.06970334e+00,2.01373739e+00
2.62000000e+00,4.27120566e-01,4.53537464e-01,1.17034018e+00,1.13479426e+00,1.59596074e+00,1.64458161e+00,1.89347386e+00,1.88385949e+00,2.02954173e+00,1.97459783e+00
2.64000000e+00,4.19540882e-01,4.45068690e-01,1.14817786e+00,1.11327065e+00,1.56501901e+00,1.61296663e+00,1.85761118e+00,1.84739034e+00,1.99013960e+00,1.93626542e+00
2.66000000e+00,4.12092417e-01,4.36752973e-01,1.12644124e+00,1.09216077e+00,1.53476584e+00,1.58198489e+00,1.82245195e+00,1.81166557e+00,1.95149326e+00,1.89872106e+00
2.68000000e+00,4.04772162e-01,4.28587667e-01,1.10512292e+00,1.07145617e+00,1.50518274e+00,1.55162223e+00,1.78797090e+00,1.77666793e+00,1.91357744e+00,1.86194624e+00
2.70000000e+00,3.97576869e-01,4.20570168e-01,1.08421588e+00,1.05114856e+00,1.47624993e+00,1.52186486e+00,1.75415897e+00,1.74238063e+00,1.87639308e+00,1.82592294e+00
2.72000000e+00,3.90504658e-01,4.12697914e-01,1.06370723e+00,1.03122989e+00,1.44795108e+00,1.49269937e+00,1.72099340e+00,1.70878735e+00,1.83990872e+00,1.79063369e+00
2.74000000e+00,3.83553922e-01,4.04968386e-01,1.04359496e+00,1.01169226e+00,1.42027092e+00,1.46411271e+00,1.68847203e+00,1.67587226e+00,1.80412197e+00,1.75606151e+00
