D,NN_z1.93,NN_z3.87,NN_z5.80,NN_z7.74,NN_z9.66,PBE_z1.93,PBE_z3.87,PBE_z5.80,PBE_z7.74,PBE_z9.66
1.60000000e+00,1.31225169e+00,2.10896945e+00,2.47944307e+00,2.63354635e+00,2.70055723e+00,1.34990687e+00,2.09001707e+00,2.48000504e+00,2.63947666e+00,2.69728405e+00
1.62000000e+00,1.30245554e+00,2.09139729e+00,2.45780945e+00,2.61024189e+00,2.67631149e+00,1.33981337e+00,2.07266571e+00,2.45835203e+00,2.61594787e+00,2.67305031e+00
1.64000000e+00,1.29269624e+00,2.07398915e+00,2.43641710e+00,2.58721471e+00,2.65236115e+00,1.32975758e+00,2.05546609e+00,2.43693836e+00,2.59269985e+00,2.64911353e+00
1.66000000e+00,1.28297472e+00,2.05674052e+00,2.41526318e+00,2.56445575e+00,2.62870097e+00,1.31974047e+00,2.03841627e+00,2.41575919e+00,2.56972631e+00,2.62546688e+00
1.68000000e+00,1.27329135e+00,2.03965068e+00,2.39434099e+00,2.54196095e+00,2.60532165e+00,1.30976293e+00,2.02151433e+00,2.39480983e+00,2.54702120e+00,2.60210372e+00
1.70000000e+00,1.26364720e+00,2.02271795e+00,2.37364602e+00,2.51972342e+00,2.58221793e+00,1.29982584e+00,2.00475841e+00,2.37408575e+00,2.52457866e+00,2.57901768e+00
1.72000000e+00,1.25404310e+00,2.00593829e+00,2.35317469e+00,2.49773741e+00,2.55938387e+00,1.28992999e+00,1.98814664e+00,2.35358257e+00,2.50239304e+00,2.55620260e+00
1.74000000e+00,1.24447989e+00,1.98931038e+00,2.33292127e+00,2.47599864e+00,2.53681493e+00,1.28007617e+00,1.97167723e+00,2.33329601e+00,2.48045888e+00,2.53365255e+00
1.76000000e+00,1.23495829e+00,1.97283292e+00,2.31287980e+00,2.45449877e+00,2.51450324e+00,1.27026510e+00,1.95534838e+00,2.31322197e+00,2.45877090e+00,2.51136178e+00
1.78000000e+00,1.22547853e+00,1.95650184e+00,2.29304981e+00,2.43323493e+00,2.49244452e+00,1.26049745e+00,1.93915836e+00,2.29335644e+00,2.43732400e+00,2.48932475e+00
1.80000000e+00,1.21604145e+00,1.94031692e+00,2.27342415e+00,2.41220355e+00,2.47063303e+00,1.25077387e+00,1.92310543e+00,2.27369554e+00,2.41611325e+00,2.46753610e+00
1.82000000e+00,1.20664716e+00,1.92427564e+00,2.25400066e+00,2.39139771e+00,2.44906354e+00,1.24109498e+00,1.90718791e+00,2.25423552e+00,2.39513387e+00,2.44599066e+00
1.84000000e+00,1.19729674e+00,1.90837562e+00,2.23477459e+00,2.37081194e+00,2.42773104e+00,1.23146134e+00,1.89140415e+00,2.23497273e+00,2.37438125e+00,2.42468343e+00
1.86000000e+00,1.18799078e+00,1.89261293e+00,2.21574163e+00,2.35044360e+00,2.40663195e+00,1.22187350e+00,1.87575253e+00,2.21590362e+00,2.35385090e+00,2.40360955e+00
1.88000000e+00,1.17872918e+00,1.87698817e+00,2.19689989e+00,2.33028722e+00,2.38575959e+00,1.21233195e+00,1.86023144e+00,2.19702476e+00,2.33353851e+00,2.38276435e+00
1.90000000e+00,1.16951227e+00,1.86149895e+00,2.17824435e+00,2.31034017e+00,2.36511111e+00,1.20283718e+00,1.84483932e+00,2.17833281e+00,2.31343987e+00,2.36214329e+00
1.92000000e+00,1.16034091e+00,1.84614241e+00,2.15977263e+00,2.29059649e+00,2.34467983e+00,1.19338963e+00,1.82957463e+00,2.15982454e+00,2.29355092e+00,2.34174198e+00
1.94000000e+00,1.15121555e+00,1.83091807e+00,2.14147997e+00,2.27105331e+00,2.32446361e+00,1.18398971e+00,1.81443588e+00,2.14149680e+00,2.27386773e+00,2.32155616e+00
1.96000000e+00,1.14213550e+00,1.81582224e+00,2.12336516e+00,2.25170708e+00,2.30445790e+00,1.17463781e+00,1.79942158e+00,2.12334653e+00,2.25438647e+00,2.30158173e+00
1.98000000e+00,1.13310218e+00,1.80085325e+00,2.10542345e+00,2.23255277e+00,2.28466058e+00,1.16533430e+00,1.78453028e+00,2.10537076e+00,2.23510344e+00,2.28181468e+00
2.00000000e+00,1.12411571e+00,1.78601050e+00,2.08765292e+00,2.21358967e+00,2.26506376e+00,1.15607953e+00,1.76976057e+00,2.08756660e+00,2.21601506e+00,2.26225114e+00
2.02000000e+00,1.11517537e+00,1.77129126e+00,2.07004952e+00,2.19481182e+00,2.24566579e+00,1.14687379e+00,1.75511105e+00,2.06993125e+00,2.19711783e+00,2.24288738e+00
2.04000000e+00,1.10628295e+00,1.75669575e+00,2.05261183e+00,2.17621803e+00,2.22646379e+00,1.13771739e+00,1.74058035e+00,2.05246198e+00,2.17840837e+00,2.22371974e+00
2.06000000e+00,1.09743702e+00,1.74221981e+00,2.03533554e+00,2.15780139e+00,2.20745420e+00,1.12861060e+00,1.72616713e+00,2.03515613e+00,2.15988341e+00,2.20474469e+00
2.08000000e+00,1.08863938e+00,1.72786272e+00,2.01821899e+00,2.13956285e+00,2.18863273e+00,1.11955367e+00,1.71187007e+00,2.01801112e+00,2.14153976e+00,2.18595882e+00
