D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
1.30000000e+00,1.52773869e+00,1.50327525e+00,4.18308166e+00,4.10856935e+00,6.47441332e+00,6.19803748e+00,7.65661569e+00,7.12535745e+00,8.12604017e+00,7.53675885e+00
1.32000000e+00,1.50070072e+00,1.47681113e+00,4.09622615e+00,4.02208965e+00,6.32529860e+00,6.05097190e+00,7.47183802e+00,6.95244726e+00,7.92641454e+00,7.35602358e+00
1.34000000e+00,1.47410692e+00,1.45077403e+00,4.01142702e+00,3.93762278e+00,6.18045833e+00,5.90829954e+00,7.29278213e+00,6.78528059e+00,7.73314783e+00,7.18150582e+00
1.36000000e+00,1.44795147e+00,1.42515834e+00,3.92862480e+00,3.85511544e+00,6.03973000e+00,5.76985598e+00,7.11920866e+00,6.62360885e+00,7.54596491e+00,7.01292145e+00
1.38000000e+00,1.42222856e+00,1.39995845e+00,3.84776209e+00,3.77451601e+00,5.90295912e+00,5.63548441e+00,6.95089130e+00,6.46719689e+00,7.36460623e+00,6.85000267e+00
1.40000000e+00,1.39693236e+00,1.37516880e+00,3.76878354e+00,3.69577446e+00,5.76999875e+00,5.50503520e+00,6.78761600e+00,6.31582211e+00,7.18882669e+00,6.69249685e+00
1.42000000e+00,1.37205705e+00,1.35078386e+00,3.69163574e+00,3.61884229e+00,5.64070905e+00,5.37836550e+00,6.62918005e+00,6.16927367e+00,7.01839470e+00,6.54016554e+00
1.44000000e+00,1.34759680e+00,1.32679810e+00,3.61626714e+00,3.54367248e+00,5.51495687e+00,5.25533885e+00,6.47539141e+00,6.02735173e+00,6.85309121e+00,6.39278343e+00
1.46000000e+00,1.32354582e+00,1.30320605e+00,3.54262797e+00,3.47021944e+00,5.39261530e+00,5.13582486e+00,6.32606798e+00,5.88986677e+00,6.69270891e+00,6.25013755e+00
1.48000000e+00,1.29989832e+00,1.28000227e+00,3.47067020e+00,3.39843893e+00,5.27356338e+00,5.01969887e+00,6.18103698e+00,5.75663893e+00,6.53705143e+00,6.11202642e+00
1.50000000e+00,1.27664854e+00,1.25718136e+00,3.40034744e+00,3.32828806e+00,5.15768570e+00,4.90684166e+00,6.04013436e+00,5.62749743e+00,6.38593264e+00,5.97825931e+00
1.52000000e+00,1.25379073e+00,1.23473793e+00,3.33161485e+00,3.25972520e+00,5.04487212e+00,4.79713915e+00,5.90320424e+00,5.50228001e+00,6.23917598e+00,5.84865554e+00
1.54000000e+00,1.23131920e+00,1.21266667e+00,3.26442916e+00,3.19270996e+00,4.93501746e+00,4.69048213e+00,5.77009842e+00,5.38083242e+00,6.09661386e+00,5.72304386e+00
1.56000000e+00,1.20922827e+00,1.19096228e+00,3.19874851e+00,3.12720313e+00,4.82802122e+00,4.58676603e+00,5.64067592e+00,5.26300797e+00,5.95808708e+00,5.60126183e+00
1.58000000e+00,1.18751230e+00,1.16961953e+00,3.13453248e+00,3.06316665e+00,4.72378732e+00,4.48589065e+00,5.51480252e+00,5.14866703e+00,5.82344434e+00,5.48315531e+00
1.60000000e+00,1.16616570e+00,1.14863320e+00,3.07174195e+00,3.00056357e+00,4.62222388e+00,4.38775998e+00,5.39235037e+00,5.03767668e+00,5.69254173e+00,5.36857792e+00
1.62000000e+00,1.14518292e+00,1.12799814e+00,3.01033913e+00,2.93935799e+00,4.52324297e+00,4.29228196e+00,5.27319764e+00,4.92991027e+00,5.56524230e+00,5.25739056e+00
1.64000000e+00,1.12455845e+00,1.10770925e+00,2.95028744e+00,2.87951507e+00,4.42676042e+00,4.19936829e+00,5.15722813e+00,4.82524711e+00,5.44141562e+00,5.14946102e+00
1.66000000e+00,1.10428684e+00,1.08776145e+00,2.89155152e+00,2.82100095e+00,4.33269559e+00,4.10893426e+00,5.04433097e+00,4.72357210e+00,5.32093744e+00,5.04466354e+00
1.68000000e+00,1.08436267e+00,1.06814974e+00,2.83409713e+00,2.76378273e+00,4.24097124e+00,4.02089856e+00,4.93440032e+00,4.62477543e+00,5.20368926e+00,4.94287840e+00
1.70000000e+00,1.06478059e+00,1.04886914e+00,2.77789115e+00,2.70782845e+00,4.15151329e+00,3.93518313e+00,4.82733506e+00,4.52875231e+00,5.08955806e+00,4.84399163e+00
1.72000000e+00,1.04553529e+00,1.02991474e+00,2.72290150e+00,2.65310705e+00,4.06425069e+00,3.85171297e+00,4.72303858e+00,4.43540264e+00,4.97843598e+00,4.74789465e+00
1.74000000e+00,1.02662153e+00,1.01128167e+00,2.66909713e+00,2.59958833e+00,3.97911530e+00,3.77041606e+00,4.62141847e+00,4.34463083e+00,4.87021999e+00,4.65448395e+00
1.76000000e+00,1.00803411e+00,9.92965109e-01,2.61644797e+00,2.54724295e+00,3.89604166e+00,3.69122315e+00,4.52238635e+00,4.25634548e+00,4.76481166e+00,4.56366083e+00
1.78000000e+00,9.89767900e-01,9.74960289e-01,2.56492488e+00,2.49604238e+00,3.81496694e+00,3.61406768e+00,4.42585761e+00,4.17045923e+00,4.66211688e+00,4.47533111e+00
1.80000000e+00,9.71817815e-01,9.57262495e-01,2.51449965e+00,2.44595886e+00,3.73583077e+00,3.53888563e+00,4.33175123e+00,4.08688850e+00,4.56204564e+00,4.38940491e+00
1.82000000e+00,9.54178840e-01,9.39867061e-01,2.46514490e+00,2.39696541e+00,3.65857512e+00,3.46561542e+00,4.23998958e+00,4.00555330e+00,4.46451182e+00,4.30579637e+00
1.84000000e+00,9.36846013e-01,9.22769375e-01,2.41683414e+00,2.34903579e+00,3.58314421e+00,3.39419780e+00,4.15049827e+00,3.92637707e+00,4.36943294e+00,4.22442347e+00
1.86000000e+00,9.19814434e-01,9.05964874e-01,2.36954166e+00,2.30214447e+00,3.50948437e+00,3.32457572e+00,4.06320595e+00,3.84928647e+00,4.27673000e+00,4.14520781e+00
1.88000000e+00,9.03079265e-01,8.89449050e-01,2.32324252e+00,2.25626660e+00,3.43754397e+00,3.25669425e+00,3.97804417e+00,3.77421126e+00,4.18632732e+00,4.06807442e+00
1.90000000e+00,8.86635727e-01,8.73217444e-01,2.27791255e+00,2.21137804e+00,3.36727329e+00,3.19050050e+00,3.89494724e+00,3.70108408e+00,4.09815232e+00,3.99295158e+00
1.92000000e+00,8.70479103e-01,8.57265653e-01,2.23352829e+00,2.16745525e+00,3.29862448e+00,3.12594352e+00,3.81385208e+00,3.62984038e+00,4.01213537e+00,3.91977065e+00
1.94000000e+00,8.54604736e-01,8.41589323e-01,2.19006699e+00,2.12447536e+00,3.23155143e+00,3.06297418e+00,3.73469810e+00,3.56041822e+00,3.92820968e+00,3.84846591e+00
1.96000000e+00,8.39008034e-01,8.26184155e-01,2.14750656e+00,2.08241608e+00,3.16600971e+00,3.00154516e+00,3.65742707e+00,3.49275820e+00,3.84631111e+00,3.77897441e+00
1.98000000e+00,8.23684462e-01,8.11045901e-01,2.10582555e+00,2.04125574e+00,3.10195650e+00,2.94161082e+00,3.58198300e+00,3.42680328e+00,3.76637806e+00,3.71123583e+00
2.00000000e+00,8.08629549e-01,7.96170365e-01,2.06500316e+00,2.00097322e+00,3.03935050e+00,2.88312715e+00,3.50831207e+00,3.36249870e+00,3.68835137e+00,3.64519236e+00
2.02000000e+00,7.93838886e-01,7.81553404e-01,2.02501916e+00,1.96154797e+00,2.97815187e+00,2.82605167e+00,3.43636248e+00,3.29979187e+00,3.61217414e+00,3.58078856e+00
2.04000000e+00,7.79308123e-01,7.67190927e-01,1.98585392e+00,1.92295997e+00,2.91832217e+00,2.77034343e+00,3.36608438e+00,3.23863225e+00,3.53779167e+00,3.51797123e+00
2.06000000e+00,7.65032973e-01,7.53078895e-01,1.94748837e+00,1.88518974e+00,2.85982429e+00,2.71596289e+00,3.29742975e+00,3.17897128e+00,3.46515135e+00,3.45668934e+00
2.08000000e+00,7.51009209e-01,7.39213319e-01,1.90990398e+00,1.84821828e+00,2.80262243e+00,2.66287187e+00,3.23035238e+00,3.12076226e+00,3.39420254e+00,3.39689389e+00
2.10000000e+00,7.37232664e-01,7.25590265e-01,1.87308273e+00,1.81202710e+00,2.74668196e+00,2.61103352e+00,3.16480772e+00,3.06396029e+00,3.32489649e+00,3.33853784e+00
2.12000000e+00,7.23699233e-01,7.12205847e-01,1.83700711e+00,1.77659820e+00,2.69196947e+00,2.56041224e+00,3.10075283e+00,3.00852216e+00,3.25718627e+00,3.28157598e+00
2.14000000e+00,7.10404867e-01,6.99056232e-01,1.80166010e+00,1.74191402e+00,2.63845265e+00,2.51097364e+00,3.03814630e+00,2.95440631e+00,3.19102665e+00,3.22596488e+00
2.16000000e+00,6.97345581e-01,6.86137637e-01,1.76702516e+00,1.70795746e+00,2.58610026e+00,2.46268449e+00,2.97694822e+00,2.90157272e+00,3.12637403e+00,3.17166279e+00
2.18000000e+00,6.84517444e-01,6.73446331e-01,1.73308619e+00,1.67471186e+00,2.53488211e+00,2.41551268e+00,2.91712006e+00,2.84998285e+00,3.06318642e+00,3.11862956e+00
2.20000000e+00,6.71916588e-01,6.60978631e-01,1.69982753e+00,1.64216097e+00,2.48476898e+00,2.36942718e+00,2.85862462e+00,2.79959960e+00,3.00142328e+00,3.06682658e+00
2.22000000e+00,6.59539201e-01,6.48730905e-01,1.66723394e+00,1.61028898e+00,2.43573262e+00,2.32439795e+00,2.80142602e+00,2.75038721e+00,2.94104552e+00,3.01621668e+00
2.24000000e+00,6.47381526e-01,6.36699571e-01,1.63529061e+00,1.57908046e+00,2.38774565e+00,2.28039598e+00,2.74548959e+00,2.70231123e+00,2.88201542e+00,2.96676411e+00
2.26000000e+00,6.35439866e-01,6.24881096e-01,1.60398311e+00,1.54852037e+00,2.34078161e+00,2.23739319e+00,2.69078182e+00,2.65533845e+00,2.82429658e+00,2.91843442e+00
2.28000000e+00,6.23710580e-01,6.13271995e-01,1.57329739e+00,1.51859404e+00,2.29481485e+00,2.19536242e+00,2.63727036e+00,2.60943683e+00,2.76785381e+00,2.87119447e+00
